Indeks stabilitas sistem keuangan;IHSG;IHPR;Perkembangan Kredit;Kurs;Jumlah uang  beredar
0.96;2598.33;131.89;1158.72;9.59;1991.58
0.96;416.67;135.89;133.03;8.48;684.34
1.06;1069.48;124.97;446.02;9.1;1016.24
0.92;385.33;137.47;308.06;7.25;577.38
1.04;2645.71;132.79;1217.66;9.63;2075.04
0.98;4730.16;173.38;2782.91;11.8;3652
1;442.33;128.12;153.82;8.57;753.81
1.11;2893.96;135.11;1347.57;9.69;216.37
0.73;5155.46;191.9;3453.81;13.32;4527.4
0.74;5128.71;190.02;3426.03;13.24;4480.72
0.96;1776.38;147.24;712.46;9.27;1491.08
0.72;5289.38;193.13;3566.85;13.53;4644.46
1.18;527;135.56;217;8.9;833.33
1.06;1887.79;148.78;770.03;9.3;1576.52
1;580.67;146.22;272.91;8.98;877.56
1.11;641.67;155.96;333.88;9.05;942.22
0.91;366.67;130.79;295.47;7.23;550.4
1;395;121;286.01;7.95;603.33
1.15;946.16;122.76;425.98;9.1;1009.93
1.04;618.33;154.04;310.99;9.02;906.04
1;3623.34;139.71;1530.74;9.99;2436.08
0.9;1702.36;146.14;669.92;9.26;1409.55
0.98;4155.07;147.94;2154.88;10.94;3092.36
0.95;4347.08;150.85;2343.71;11.39;3290.58
0.93;4016.51;145.43;2034.12;10.43;2992.29
1.12;598.67;150.63;293.65;9;890.13
0.77;4973.86;184.25;3105.87;12.86;4213.1
0.7;5419.45;194.54;3745.89;14.06;4884.04
0.76;5071.15;186.3;3205.36;13.13;4340.13
0.99;3519.39;136.65;1486.49;9.9;2375.95
0.75;5121.08;188.55;3297.75;13.16;4428.63
1;459.67;136.13;181.53;8.64;776.09
1.24;1080.05;127.33;485.22;9.1;1054.73
1.24;546.67;137.63;241.38;8.94;856.42
0.72;4884.03;181.64;3074.34;12.49;4091.5
0.88;4373.88;154.15;2486.54;11.64;3400.2
0.98;442;139.25;147.74;8.5;747.03
0.78;4870.88;178.88;2998.72;12.24;3933.83
1.06;3775.97;141.91;1739.95;10.12;2609.74
0.87;4743.83;178.31;29004.09;11.84;3795.18
1.1;3217.48;136.75;1427.37;9.82;2243
0.97;424;138.64;139.61;8.49;686.45
0.71;5322.29;193.83;3650.55;13.76;4738.01
0.95;400.67;138.36;148.95;8.41;646.21
1.11;749.44;157.53;340.75;9.06;939.39
1;3881.72;143.56;1835.31;10.18;2761.53
0.97;4314.37;153.56;2270.21;11.37;3226.62
0.99;3709.3;141.23;1628.37;10.05;2477.52
1.07;1341.6;139.72;598.12;9.23;1270
1.14;777.27;121.81;392.41;9.09;980.71
